SKU,Name,Category,Department,Unit,List Price,Contract Price,Compliance Cite,Compliance Note,Image Status,Image File,Seller,Barcode
MVS-RG-1000,Non-Penetrating Roof Guardrail — 10 ft Section,roof,Roof Safety,section,289,,1926.501(b)(10),"OSHA 1926.501(b)(10) lets a crew on a low-slope roof use a guardrail system instead of tying everyone off. 1926.502(b) sets the numbers this section is built to: a top rail 42 in above the deck, plus or minus 3 in, that withstands 200 lb applied outward or downward, and a midrail at 21 in that withstands 150 lb.",glyph,,MVS,
MVS-RG-BASE,Guardrail Counterweight Base — 90 lb,roof,Roof Safety,each,148,,1926.501(b)(10),"The counterweight base is what makes a non-penetrating rail hold its rating. Under 1926.502(b) the top rail must take a 200 lb outward or downward force without deflecting below 39 in, and that only holds when the bases sit at the spacing in the manufacturer's engineered layout — follow the layout, not your eye.",glyph,,MVS,
MVS-WL-600,Warning Line System — 600 ft Kit,roof,Roof Safety,kit,1240,,1926.501(b)(10),"On a low-slope roof, 1926.501(b)(10) allows a warning line used with a safety monitor in place of rail or harnesses. 1926.502(f) writes the line's spec: rigged 34 to 39 in high, flagged at intervals of not more than 6 ft, resisting 16 lb of tipping force, minimum 500 lb tensile strength, and set back at least 6 ft from the edge.",glyph,,MVS,
MVS-SKY-48,Skylight Screen — 4 ft × 8 ft,roof,Roof Safety,each,412,,1926.501(b)(4),"OSHA treats an unguarded skylight as a hole in the roof. 1926.501(b)(4) requires protection from falling through any hole more than 6 ft above a lower level, and 1926.502(i) requires the cover to support at least twice the weight of the workers, equipment and material that could ever be on it, to be secured against displacement, and to be marked or color-coded so nobody pulls it.",glyph,,MVS,
MVS-ANC-DL,Reusable Roof Anchor — Standing Seam Clamp,roof,Roof Safety,each,386,,1926.502(d)(15),"1926.502(d)(15) requires a fall-arrest anchorage to hold 5,000 lb for each worker attached — or to be designed with a safety factor of two under the supervision of a qualified person. A pipe stub or a screen post is not an anchorage; this clamp is rated, tested and documented as one, to ANSI/ASSP Z359.18.",glyph,,MVS,
MVS-YG-10,Yellow Steel Guardrail — 10 ft Rail,guard,Guardrail Systems,each,172,,1926.501(b)(1),"1926.501(b)(1) requires fall protection at every unprotected side or edge 6 ft or more above a lower level, and guardrail is the option that protects everyone without gearing anyone up. 1926.502(b) sets the build: top rail at 42 in plus or minus 3 in withstanding 200 lb, midrail at 21 in withstanding 150 lb.",glyph,,MVS,
MVS-YG-POST,"Guardrail Post — Bolt-Down, Yellow",guard,Guardrail Systems,each,96,,1926.501(b)(1),"The post carries the whole guardrail load path. Under 1926.502(b) the top rail must take 200 lb outward or downward without deflecting below 39 in, which is a post-and-anchor problem, not a rail problem. This bolt-down baseplate with four anchors is how the system passes that test on concrete or steel.",glyph,,MVS,
MVS-YG-TOE,"Toe Board — 4 in × 10 ft, Yellow",guard,Guardrail Systems,each,64,,1926.501(b)(1),"Where people work or pass below an edge, the hazard is falling material, not falling workers. 1926.502(j) requires a toeboard at least 3 1/2 in tall, able to withstand 50 lb of downward or outward force, with not more than 1/4 in of clearance above the walking surface.",glyph,,MVS,
MVS-HOLE-4,"Floor Hole Cover — 4 ft × 4 ft, Marked",guard,Guardrail Systems,each,128,,1926.501(b)(4),"1926.501(b)(4) requires every walking-surface hole more than 6 ft above a lower level to be covered or guarded. 1926.502(i) sets the cover's spec: support at least twice the maximum intended load, secured so it cannot slide, and marked HOLE or COVER so nobody lifts it without knowing what is under it.",glyph,,MVS,
MVS-HH-C1,"Hard Hat — Cap Style, Type I Class E",head,Head Protection,each,19.5,,1926.100(a),"1926.100(a) requires a protective helmet wherever there is a possible danger of head injury from impact, from falling or flying objects, or from electrical shock and burns. Type I is tested for crown impact only; Class E is dielectric-tested to 20,000 volts, per the ANSI Z89.1 standard OSHA incorporates at 1926.100(b).",glyph,,MVS,
MVS-HH-T2V,"Safety Helmet — Type II Class E, Vented",head,Head Protection,each,89,,1926.100(a),"1926.100(a) is the trigger: possible head injury from impact, falling or flying objects, or electrical shock means a helmet, full stop. Type II adds tested lateral-impact protection to the Type I crown test under ANSI Z89.1. Read the shell mark before electrical work — vented shells are typically Class C, with no voltage rating at all.",glyph,,MVS,
MVS-HH-BRIM,"Hard Hat — Full Brim, Type I Class G",head,Head Protection,each,27,,1926.100(a),"Same rule as every hard hat on site: 1926.100(a) requires head protection where impact, falling objects or electrical shock are possible, built to the ANSI Z89.1 standard named in 1926.100(b). Class G is proof-tested at 2,200 volts — general trades work, not line work near high voltage; that is Class E.",glyph,,MVS,
MVS-SG-CLR,"Safety Glasses — Clear, Anti-Fog",eye,Eye Protection,each,6.4,,1926.102(b)(1),"1926.102(a)(1) requires eye and face protection whenever the work can injure an eye — flying particles, dust, chips, splash. OSHA accepts protectors built to the ANSI/ISEA Z87.1 standard it lists at 1926.102(b)(1). The Z87+ mark means high-impact tested, including a 6.35 mm steel ball fired at 150 ft/s. An unmarked lens is not protection.",glyph,,MVS,
MVS-SG-SMK,"Safety Glasses — Smoke, Z87+",eye,Eye Protection,each,6.9,,1926.102(b)(1),"The rule is 1926.102(a)(1): eye protection wherever the operation can injure an eye, built to the ANSI/ISEA Z87.1 standard OSHA lists at 1926.102(b)(1). The smoke tint handles outdoor glare; the Z87+ mark on both frame and lens is what makes the pair compliant — counterfeits usually miss one of the two.",glyph,,MVS,
MVS-GG-SEAL,Sealed Safety Goggle — Indirect Vent,eye,Eye Protection,each,14.75,,1926.102(a)(1),"1926.102(a)(1) requires eye and face protection matched to the hazard, and for chemical splash or heavy grinding dust a spectacle is not a match — the rule effectively demands a sealed goggle. The D3 mark under ANSI/ISEA Z87.1 means the goggle passed the droplet and splash test.",glyph,,MVS,
MVS-GL-A4,"Cut-Resistant Glove — Level A4, PU Palm",hand,Hand Protection,pair,8.2,,1926.95(a),"Construction has no numbered glove rule; 1926.95(a) is the requirement — protective equipment wherever hazards of the work or environment are capable of causing injury. ANSI/ISEA 105 grades cut resistance A1 through A9. A4 means the test blade needs 1,500 to 2,199 g of load to cut through: the working default for sheet metal and stud.",glyph,,MVS,
MVS-GL-A6,"Cut-Resistant Glove — Level A6, Nitrile",hand,Hand Protection,pair,13.4,,1926.95(a),"1926.95(a) requires hand protection wherever the task presents a hazard capable of causing injury, and a cut hazard is exactly that. On the ANSI/ISEA 105 scale, A6 means 3,000 to 3,999 g of cut load — the tier for glass, heavy-gauge steel edges and demolition, where an A4 palm gives up.",glyph,,MVS,
MVS-GL-LEA,Leather Driver Glove — Grain Cowhide,hand,Hand Protection,pair,5.6,,1926.95(a),"1926.95(a) requires protective equipment matched to the hazard, and this glove claims no cut rating at all — it is for general handling, abrasion and splinters. If the task can slice, an unrated leather driver does not satisfy the rule; move up to an ANSI/ISEA 105 rated cut glove.",glyph,,MVS,
MVS-VS-C2,"Hi-Vis Vest — Class 2, Type R",hivis,Hi-Vis Apparel,each,11.9,,1926.201(a),"1926.201(a) requires flagger signaling to conform to the MUTCD, and the MUTCD puts flaggers in high-visibility apparel meeting ANSI/ISEA 107 Class 2 at minimum. Class 2, Type R is the standard roadway work-zone garment; where traffic is fast or light is poor, the step up is Class 3.",glyph,,MVS,
MVS-VS-C3,"Hi-Vis Long-Sleeve — Class 3, Type R",hivis,Hi-Vis Apparel,each,34.5,,1926.201(a),"1926.201(a) points flagger operations at the MUTCD, which calls for stepping up from Class 2 as risk rises — night work, poor weather, high-speed traffic. Under ANSI/ISEA 107, Class 3 adds sleeves and more reflective area so the wearer reads as a person, in motion, from a full 1,280 ft.",glyph,,MVS,
MVS-VS-O1,"Hi-Vis Vest — Class 1, Type O",hivis,Hi-Vis Apparel,each,9.4,,1926.95(a),"1926.95(a) is the general PPE rule this vest answers: a visible worker where equipment moves off the public way. Type O under ANSI/ISEA 107 is off-road only — it does not meet the Class 2 roadway garment the MUTCD flagger rules call for, which is the expensive mix-up this label exists to prevent.",glyph,,MVS,
MVS-FH-5PT,"Full Body Harness — 5-Point, Universal",fall,Fall Protection,each,118,,1926.502(d),"1926.502(d) writes the personal fall arrest spec: a full body harness — body belts have been banned for arrest since 1998 — limiting the arresting force on the worker to 1,800 lb, with free fall limited to 6 ft and deceleration distance to 3.5 ft. ANSI/ASSP Z359.11 is the consensus standard the harness itself is built and tested to.",glyph,,MVS,
MVS-SRL-11,"Self-Retracting Lifeline — 11 ft, Class 2",fall,Fall Protection,each,268,,1926.502(d)(16),"1926.502(d)(16) requires the system to limit arresting force to 1,800 lb with a harness, to limit free fall, and to stop the worker before any contact with a lower level. An SRL arrests in inches instead of feet, which is why it wins on low roofs — but verify the manufacturer's clearance chart below the anchor before you spec it.",glyph,,MVS,
MVS-LY-SA6,"Shock-Absorbing Lanyard — 6 ft, Double Leg",fall,Fall Protection,each,142,,1926.502(d)(16),"1926.502(d)(16) limits arresting force to 1,800 lb, free fall to 6 ft, and requires the rig to stop the worker before contact with a lower level. A 6 ft shock-absorbing lanyard needs roughly 18.5 ft of clearance below the anchor to honor that — on a low roof it cannot, and the right answer is an SRL.",glyph,,MVS,
MVS-SID-VD4,"Vinyl Siding — Double 4 in Clapboard, per square",siding,Siding,SQ,118,,IRC R703.11,"ASTM D3679 is the spec vinyl siding is manufactured to. IRC R703.11 governs the install: fastened to framing or blocking per the manufacturer, hung loose enough to move — vinyl expands, and a panel nailed tight buckles by August.",photo,mvs-sid-vd4.jpg,MVS,
MVS-SID-AL8,"Aluminum Siding — 8 in Horizontal, per square",siding,Siding,SQ,215,,IRC R703,"AAMA 1402 is the standard for aluminum siding, soffit and fascia. Most demand today is matching existing mid-century cladding — measure the exposure before ordering, because 8 in covers differently than 5 in double.",photo,mvs-sid-al8.jpg,MVS,
MVS-SID-JCH,"Vinyl J-Channel — 5/8 in, 12 ft 6 in",siding,Siding,EA,6.9,,IRC R703.11,"Accessories ship under the same ASTM D3679 spec as the panel. J-channel receives cut panel ends at windows, doors and gables — plan a piece for every opening side and you will still go back for more.",photo,mvs-sid-jch.jpg,MVS,
